Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
Honda Amaze,2021.0,18854,1,PETROL,KA-55,Automatic,Sedan,1282000
Hyundai Grand i10,2018.0,25345,1,PETROL,UP-78,Manual,HatchBack,518000
Hyundai Elite i20,2018.0,56719,1,DIESEL,TS-07,Manual,HatchBack,775000
Maruti Swift,2019.0,70182,1,PETROL,DL-12,Manual,HatchBack,498000
Hyundai Elite i20,2019.0,56099,1,PETROL,TS-07,Automatic,HatchBack,791000
KIA SELTOS,2022.0,5008,1,PETROL,TS-07,Manual,SUV,1724000
Maruti Swift,2018.0,48725,1,PETROL,TS-07,Automatic,HatchBack,650800
Maruti Ciaz,2019.0,29410,1,PETROL,DL-3C,Automatic,Sedan,1011000
Hyundai Verna,2017.0,51947,2,PETROL,KA-05,Manual,Sedan,757000
Maruti Swift,2019.0,32663,1,PETROL,HR-72,Manual,HatchBack,626000
Hyundai i10,2014.0,62815,2,PETROL,DL-8C,Manual,HatchBack,283000
Maruti Swift Dzire,2014.0,58833,2,PETROL,KA-51,Manual,Sedan,490000
Volkswagen Vento,2016.0,22170,1,PETROL,BR-01,Automatic,Sedan,816000
Renault Kwid,2020.0,47464,1,PETROL,TN-73,Manual,HatchBack,449800
Tata Tiago,2018.0,37814,1,PETROL,TS-15,Automatic,HatchBack,585000
Maruti S PRESSO,2022.0,5103,1,PETROL,TN-10,Automatic,HatchBack,580000
Maruti Swift,2017.0,71763,1,PETROL,HR-51,Manual,HatchBack,478000
Maruti Baleno,2017.0,44339,1,PETROL,TS-08,Manual,HatchBack,658000
Maruti Celerio X,2018.0,44216,1,PETROL,TN-09,Automatic,HatchBack,479000
Honda Amaze,2018.0,56997,2,PETROL,TN-03,Manual,Sedan,552000
Maruti Swift,2015.0,63231,2,PETROL,KA-01,Manual,HatchBack,507000
Maruti IGNIS,2018.0,64570,1,PETROL,MH-49,Manual,HatchBack,490000
Maruti Baleno,2017.0,29404,1,PETROL,DL-9C,Manual,HatchBack,521000
Hyundai Verna,2018.0,27428,1,PETROL,MH-47,Manual,Sedan,483000
Hyundai Grand i10,2016.0,27993,2,PETROL,GJ-01,Manual,HatchBack,429000
Hyundai VENUE,2021.0,20357,2,PETROL,MH-14,Manual,SUV,781000
Tata Tiago,2020.0,68413,2,PETROL,TS-03,Automatic,HatchBack,683000
Tata Safari,2022.0,18319,1,DIESEL,TS-08,Manual,SUV,2107000
Hyundai AURA,2022.0,35752,2,PETROL,MH-02,Automatic,Sedan,736000
Maruti Baleno,2019.0,23126,1,PETROL,GJ-27,Manual,HatchBack,712000
Maruti Vitara Brezza,2019.0,68272,1,DIESEL,PB-91,Manual,SUV,767000
Maruti Alto K10,2017.0,47967,2,PETROL,HR-36,Manual,HatchBack,359000
Volkswagen Vento,2020.0,80772,1,PETROL,UP-14,Manual,Sedan,617000
Hyundai Eon,2015.0,82273,1,PETROL,MH-12,Manual,HatchBack,271000
Honda Amaze,2018.0,68647,1,PETROL,DL-3C,Manual,Sedan,359000
Toyota Corolla Altis,2010.0,69278,2,PETROL,DL-4C,Manual,Lux_sedan,234000
Hyundai Verna,2017.0,59949,1,PETROL,GJ-01,Manual,Sedan,681800
Maruti Celerio,2015.0,62663,2,PETROL,UP-16,Automatic,HatchBack,377000
Hyundai i20,2012.0,43690,1,PETROL,DL-3C,Manual,HatchBack,322000
Maruti Wagon R 1.0,2014.0,52685,1,CNG,MH-46,Manual,HatchBack,346000
Maruti IGNIS,2017.0,59293,1,PETROL,HR-26,Automatic,HatchBack,577000
Maruti Swift,2016.0,31324,2,PETROL,HR-26,Manual,HatchBack,513000
Hyundai Elite i20,2019.0,30683,2,PETROL,TN-23,Manual,HatchBack,620000
Renault TRIBER,2020.0,25264,2,PETROL,MH-12,Automatic,SUV,673000
Maruti Alto K10,2014.0,53179,2,PETROL,TS-07,Manual,HatchBack,299000
Honda Amaze,2018.0,55763,1,PETROL,HR-87,Manual,Sedan,591000
Hyundai VENUE,2019.0,36675,2,PETROL,GJ-36,Automatic,SUV,937000
Hyundai Grand i10,2018.0,56129,1,PETROL,TS-13,Manual,HatchBack,555000
Maruti Baleno,2016.0,38153,1,PETROL,KA-03,Manual,HatchBack,714000
Hyundai Grand i10,2016.0,28423,1,PETROL,DL-5C,Manual,HatchBack,455000
Maruti Dzire,2018.0,74352,1,PETROL,TN-01,Manual,Sedan,367000
